feature	importance
grs	0.02435177005650505
UKBB_GRS	0.01562662480149689
paep	0.010124283364825282
fshb	0.007455625753295869
cga	0.006966397405550223
chrdl2	0.004494203371418743
rln2	0.0023386243592332886
gdf15	0.0022744598645934072
ccl3	0.00199499829321316
alpp	0.0018286558601504066
lmnb2	0.0016905826616460363
msmb	0.0016064756961328382
fgfr2	0.001584564301240699
flt3lg	0.0015522349774188655
lamp3	0.0015047892572997929
edil3	0.0015031867360532744
acp5	0.0015016426149212433
pilra	0.0014870033517161466
fabp1	0.0014843704654361179
icam1	0.0014812424324150261
rbp5	0.0014752167474288225
agrn	0.0014674734693294967
cdh3	0.001448247439631231
fut3_fut5	0.0014255879389224715
ptprz1	0.001404624103340361
il13ra1	0.0013539693311297402
ccl25	0.0013536061702982694
stc2	0.001347697418063522
npc2	0.0013475226120011796
prl	0.0013389331501247276
sdk2	0.0013301773768719324
tnfrsf10b	0.0013291944884756834
bst2	0.0013148581230805645
rln1	0.0013108715953428097
tnfsf13b	0.001292530093239194
prok1	0.0012922670187471203
lgals9	0.0012664616519500115
cd27	0.0012538179100834686
scgb1a1	0.0012293464493693832
tnfrsf10a	0.001215534589412207
klk4	0.0011370003963844908
tnfrsf6b	0.0011311470129207993
clec14a	0.0011209954999540867
tspan1	0.0011042766864341102
reg4	0.001091770678828745
cd276	0.0010428212761129714
crh	0.0010419467687211895
col18a1	0.0010391033144946799
lep	0.001016778218522675
rtbdn	0.0010068152540327307
erbb2	0.0010001361366645716
cxcl17	0.0009958881459431498
igfbp4	0.0009832967409809312
lgals3	0.0009749605744997203
faslg	0.0009728743168508808
igfbp7	0.0009524002998964155
wfikkn2	0.0009362693565967095
creg1	0.0009360264021816306
mep1a	0.0009352057391704419
tnfrsf4	0.0009345323087400819
chit1	0.0009306147368933401
gfra1	0.000926910864911614
timp4	0.0009215265102541743
hla_a	0.0009210709298404988
ggt1	0.00091915841603705
ccl22	0.0009179923679128821
bsg	0.0009160931981393836
capg	0.0009134051042050531
gc	0.0009131446917529719
gh1	0.0009131164375231711
dpt	0.0008937528928539282
get3	0.0008933472667293517
scara5	0.0008901100588257619
sfrp4	0.0008876272450776347
ctsd	0.0008866674249342254
sftpd	0.0008728727208765128
il11	0.0008724049983460493
sost	0.0008670243387500745
pi16	0.000857523171832596
spink8	0.0008557786239856206
mln	0.0008547840875416663
leg1	0.0008498836973160326
ctso	0.0008492258258883315
smoc1	0.0008481347396486709
cst6	0.0008476644327741706
obp2b	0.0008476502739301926
fga	0.0008446424489849695
wfikkn1	0.0008428716140408721
insl4	0.0008421594948893482
scarb2	0.0008386563027822412
cd300e	0.000838068688570887
ocln	0.0008348358519800882
timd4	0.0008347023792691499
adamts15	0.0008285727271118866
hip1r	0.000823841319690429
