feature	importance
UKBB_GRS	0.025725460473033816
grs	0.020644803648503917
paep	0.00995810250265426
psca	0.0060182009050521856
cga	0.005452459365575151
klk12	0.004952193375616573
fshb	0.004735571389732138
chrdl2	0.004444532515803031
lgals4	0.003290875902563046
zp3	0.0031608113141983543
cfh	0.003112641785120736
txndc15	0.002914275062708682
sdk2	0.002682709763427502
cntn2	0.0024551651041537837
rln2	0.0024462067811526905
kir2ds4	0.00238243893868479
lmnb2	0.0022138082737762363
cr2	0.0021292319480824573
pon1	0.002081482772527575
hras	0.0019970055021506688
fam171a2	0.001991391401366791
man1a2	0.001939543715852278
col9a1	0.001930512180338851
csf2rb	0.0019085366344257337
abo	0.001896428141016407
dpp4	0.0018846619876170061
gstt2b	0.0018790011292491341
ofd1	0.001852476850185118
dlk1	0.0018394376757350144
ssh3	0.0018293985759086754
gpihbp1	0.001814365662066236
tnc	0.0017889331698107203
sftpd	0.0017159293408528472
aldh3a1	0.001678550660723107
aif1l	0.0016714690615670458
ggt1	0.0016400865928660074
il3ra	0.0016184331792128937
nxph1	0.0016118690790786023
tp73	0.0016106981165848698
dpt	0.0015782528145593271
ptprz1	0.0015632398002624257
prl	0.0015324307564839254
top1	0.00153011794055499
robo2	0.0015287843333473415
colec12	0.0014922347259513416
apobr	0.0014635624191886214
icam4	0.0014478928422190036
ceacam1	0.0014257834774261409
cpm	0.0014022698315435996
clec1a	0.001376059967761511
lsm8	0.0013722386127241475
gpr15l	0.0013697681914757228
l1cam	0.0013377015716913255
plxnb2	0.0013129348807642037
cd80	0.0013002658177399457
apof	0.0012910828945662072
igdcc4	0.001280678846552578
mme	0.0012703404881791553
ccl16	0.0012542347413597324
erbb2	0.0012533582811304854
cd5l	0.001229725989652712
gh1	0.001224225083712481
hbz	0.0012220271645483826
tf	0.0011976691712619102
ceacam21	0.0011704999067088126
il4	0.0011654355902451456
il5ra	0.0011614237790207502
pm20d1	0.001152294071569594
cfi	0.0011521943143963243
cdh2	0.0011163282825922076
ctsc	0.0011098459067375346
muc16	0.001102285188102581
pdgfrb	0.0010963931840392536
ctsv	0.0010919962590592287
lilrb5	0.0010746590811016117
mog	0.0010731360386539717
il33	0.0010718599250704312
bcl7b	0.001048346981210789
gpc1	0.0010460753842167895
stc2	0.0010450908654013019
pltp	0.0010438125519167758
creld1	0.0010412192753922953
faslg	0.0010324777678893508
prok1	0.0010222983794288812
lcn15	0.0010041126952883921
lhb	0.0009986240815404814
tdgf1	0.0009937892710720634
orm1	0.0009807336523462672
lamp3	0.0009767767267123129
robo4	0.0009757320546678265
f3	0.0009632709727556232
hmmr	0.0009631475464790799
ccl21	0.0009585561388917744
ahnak2	0.000951981124306326
smoc1	0.0009484300128356019
clec4m	0.0009417604014702733
epo	0.0009363289484289703
egfr	0.0009200205881381003
upk3bl1	0.0009162992789544365
thrap3	0.0009110392586570145
tnfrsf13b	0.0009105136607460725
cxcl12	0.0009041727231567106
pcbd1	0.0008980506502762011
gc	0.0008960054621332492
alpi	0.0008955647907259451
sod3	0.0008954809708356952
gfra1	0.0008939745073733933
plxdc2	0.0008932527485773658
ftcd	0.0008876035896923976
atp6v1d	0.0008726011201825899
ocln	0.0008689863674495106
prss8	0.000867431635288825
serping1	0.0008619628095528224
syt1	0.0008558344576251153
podxl2	0.0008517834207773601
il10ra	0.0008418581676876522
sost	0.0008394270762794791
gchfr	0.0008332371239363236
pla2g7	0.000832705491511191
cxcl17	0.000829159435480847
tmprss5	0.0008283446858278628
ncam1	0.000821253690107002
ptprr	0.0008113205407258369
acan	0.0008028290362440257
cd55	0.0008027777699560356
ptgr1	0.0007986366027986305
fam3d	0.000798304892333642
dbh	0.0007913647621228963
tmprss15	0.0007902945997512128
scrg1	0.000772086303031029
c3	0.000770480498577807
megf9	0.0007700261022626138
serpina12	0.000767379732618478
tlr3	0.0007598031295119821
ghrl	0.0007544547079368479
adamts13	0.0007501358288456804
muc13	0.0007478280545563391
bst2	0.0007470218680463489
s100g	0.0007462872741658745
ctsd	0.0007424938280394693
c1qa	0.0007405183266283106
dgkz	0.000739448472002812
pdcd6	0.0007389334109653761
cdhr2	0.000734165060945285
kir3dl1	0.000733635818205232
lcp1	0.0007321601423607315
kirrel2	0.0007313561079759894
rtbdn	0.0007263180800167885
idi2	0.0007206480276476861
ccl27	0.0007125393427855879
hla_dra	0.0007122283550666618
ces2	0.000711000968445812
lrrn1	0.0007088128116662116
fcrl3	0.0007085883960594827
wdr46	0.0007072647037991346
slc4a1	0.0007067506226615252
kir3dl2	0.0007005888595832839
ido1	0.00070049713880048
crh	0.0006951219316192178
apod	0.0006895280428132177
notch2	0.0006878069340571884
mcam	0.0006848238427684376
tcl1a	0.000682331750590107
nme3	0.0006815956328189936
ceacam18	0.000677668718385315
smpdl3b	0.0006694957971895385
scarf2	0.0006678931119966776
vtcn1	0.0006602135829975131
mdga1	0.0006597766415837659
palm2	0.000658529433930401
icam5	0.0006584027287838211
ccl20	0.0006545298539402199
