feature	importance
grs	0.01940543816059797
UKBB_GRS	0.013167398955199661
paep	0.006441372822681838
cga	0.00531970832000324
fshb	0.0030719742318055954
chrdl2	0.002484581148781072
lamp3	0.0019744272596938337
rln2	0.0018725625947505797
cxcl17	0.0018415318765190316
gdf15	0.0015971030632054974
prl	0.0014433825838107409
klk4	0.0013412279477316576
bst2	0.001327110069909067
dpt	0.0012471135932053958
cpm	0.0012266082316001463
icam1	0.001215389875892687
ccl3	0.0011881612096865282
alpp	0.0011678768255138196
tnfsf13b	0.0011431570348670816
tspan1	0.0011063278016527445
prok1	0.0010970585600372487
scarf2	0.0010567469726204144
itga5	0.0010350705525785909
fgfr2	0.0010182129018384218
cdhr2	0.0010049819836446096
cd83	0.0009900048158733388
msmb	0.0009889822595089066
fabp1	0.0009641236816370384
sdk2	0.0009431862986681749
lgals4	0.0009281198709073539
dpp4	0.0009215734861439868
lgals9	0.0008917917436922183
stc2	0.0008752634189991095
npc2	0.0008694076622092163
trem2	0.0008636265266312998
col9a1	0.0008524917818286757
egfr	0.000848702221104115
lypd1	0.0008433492902661747
rtbdn	0.0008427888556483392
reg4	0.0008321970428107003
gal	0.0008210418510238247
chl1	0.0008042038952479745
wfikkn2	0.0008001358617373563
ctsv	0.0007989023660808056
smoc1	0.0007975947493013187
rbp5	0.0007939119250716661
fap	0.0007842829388058346
tnfrsf4	0.0007842532066254948
pilra	0.0007738979775582321
ace2	0.0007716939423163514
heg1	0.0007641535167625472
ccl18	0.0007633249067715546
sftpd	0.000763187590587647
cst6	0.0007605649724137343
efna4	0.0007544133257163601
obp2b	0.0007539099643039232
cdh3	0.0007497942505687209
tff2	0.0007441423582337624
tnc	0.0007430005074637453
havcr2	0.0007417420135184024
gfra1	0.000736341928045349
sfrp4	0.0007360810829476366
tnfrsf10b	0.0007317181593191485
mrc1	0.0007300603240272974
fut3_fut5	0.0007278316972759207
tnfrsf1a	0.0007235994950858794
prss8	0.0007232457629754703
adamts15	0.0007212624379216204
vsig4	0.000720833798780466
marco	0.0007184263923878402
boc	0.0007181197206698585
agr2	0.0007162898296437893
megf9	0.0007126146960749306
thbs2	0.0007113640109550155
aldh3a1	0.0007071665306253234
wfikkn1	0.0007035999804057044
ccl21	0.0006957902354276167
faslg	0.0006956965668537912
ezr	0.0006939840851970406
ca6	0.0006929155037095502
dkkl1	0.0006880811595718995
rnase6	0.000686778368779057
cst3	0.0006816380074402085
timp4	0.0006791737341489621
colec12	0.0006772335573772359
gga1	0.0006771960015084912
hla_a	0.0006749468573114894
il15	0.0006722911889571329
il1rl1	0.0006669122525724057
upk3bl1	0.0006659872378665254
il4	0.0006625121551477422
tnr	0.0006616145369048782
ggh	0.0006591184289712505
selplg	0.0006585544574538173
ephb4	0.0006515520088298117
slc39a14	0.0006486478896240863
ptprz1	0.0006472506405749985
ccl25	0.0006468590879146208
lmnb2	0.0006455383696337921
ptx3	0.0006451379582849675
dsg4	0.0006443153904795978
tsc1	0.000640566911579496
clec5a	0.0006376634150715413
mln	0.0006366775038273253
il10ra	0.0006337729578518985
ece1	0.0006327380371969433
cfh	0.0006312760422189046
thbs4	0.0006305583388251801
fam3b	0.0006304259817160237
mfap5	0.0006304242764522123
ntf4	0.0006301945698441988
amy2b	0.0006292201804087063
scara5	0.0006291651095605516
il6	0.0006270649292487933
amy2a	0.0006204138651103268
ccl28	0.000620115143533997
tff1	0.000619426576265605
itgav	0.0006173831471216902
sirpa	0.0006173699309947393
vwa1	0.0006163985381443525
cdh2	0.0006160075775893473
il17a	0.0006152997463312195
ptprs	0.0006142559190857264
lrrc37a2	0.0006122737338316615
ctsd	0.0006119645729864314
treh	0.0006097178455442698
cdsn	0.0006091999173011022
fabp6	0.0006082685889101842
epo	0.0006082410327296243
top1	0.0006071772541143395
il20rb	0.0006069980159729623
krt5	0.000603129065752936
sod2	0.0006020999920894091
ror1	0.0005988413112225388
ifng	0.0005979158413893334
metap1	0.0005975502280829329
sost	0.0005956699727688767
wfdc2	0.0005951098315577273
il22ra1	0.0005948291464122098
il20	0.0005917073048619117
cdcp1	0.0005913344042699348
creld2	0.0005913217945245033
rgs8	0.0005913058463896314
clec7a	0.0005911526179631157
adamts13	0.0005901065296573055
cd27	0.000588830407627705
ggt1	0.0005855977079847466
tnfrsf6b	0.0005855084384205576
rspo1	0.0005846992702288113
efemp1	0.0005845822535182781
il10	0.0005818407861654277
lrp1	0.0005801400604735549
gh2	0.0005801044084519556
dlk1	0.0005800394607134535
il1rn	0.0005800218839008043
cxcl16	0.0005797912068868025
crlf1	0.000576239982171169
reg3a	0.0005754647638974153
sod3	0.0005753421144098228
angptl7	0.0005752282890340851
amn	0.0005750864758365786
cdhr1	0.0005750845686548605
nrn1	0.000574304424813013
ptn	0.000574071643660145
prkcq	0.0005733865127928352
reg1a	0.0005729237499969627
sel1l	0.0005723600897707421
crh	0.000571743754631446
spink5	0.0005704299228565137
fcn2	0.0005698296094142699
prr4	0.0005696725026547372
gnly	0.0005680197382674015
srp14	0.0005669830125839473
fuca1	0.0005655267054316001
thrap3	0.0005643748438935583
il1r2	0.000563728313134799
acvrl1	0.0005637145836011305
c1qa	0.0005628731635308385
cd28	0.0005617975465531328
tcl1a	0.0005609090700499649
plin1	0.0005601269470280967
tdgf1	0.0005600753358001163
tmprss11b	0.0005599095111318261
ang	0.0005593000812239308
acp5	0.0005579448626559184
prcp	0.0005569085044040006
fgf23	0.0005564855901364102
flt3	0.0005562385479404872
lhb	0.0005556212719551781
angpt2	0.0005544776235820655
fgf19	0.0005541391545240091
cst7	0.0005537921866115891
dpy30	0.0005535202764954452
adam22	0.0005522272283913203
il11	0.0005518252100847997
crtac1	0.0005517629818396348
fcgr2a	0.00055121808199142
cd200r1	0.0005511854416439926
klk12	0.0005503230720669877
chchd6	0.0005497333000260091
b4gat1	0.0005496483606935204
icam4	0.0005489031316061329
spink6	0.0005485955786798407
setmar	0.0005458145387049864
mmp9	0.0005454276496540711
id4	0.0005453270191771045
gfod2	0.0005449076417044349
dpep1	0.0005446934962645103
clec1a	0.000543403203978004
fgr	0.0005433100886153789
flt3lg	0.0005429560685017544
adgrg2	0.0005429343996301507
ager	0.0005427955759140431
smpdl3a	0.0005427197971826733
mcam	0.0005417326657721107
galnt7	0.000540820314722708
cd109	0.0005401851665485316
pm20d1	0.0005396463015605467
cd3g	0.0005391235335455781
adm	0.0005391031288323538
proc	0.0005389295602124585
cd302	0.0005387312463768231
nxph1	0.0005386138113903297
lrrn1	0.0005380702512101755
lta4h	0.000536899214617593
igdcc4	0.0005351346961550697
vit	0.000535086884026284
ruvbl1	0.0005350098935196044
cacnb1	0.0005349837806148608
c2cd2l	0.0005349713912257318
itgb2	0.0005346511413206883
cbln4	0.0005345473490399127
cst1	0.0005335562506036798
cntnap2	0.0005332880195107358
c4bpb	0.0005328836493934917
havcr1	0.0005321403332306756
erbb2	0.0005317357987898492
ccl11	0.0005309831936353012
bpifb1	0.0005308581290586704
