feature	importance
UKBB_GRS	0.023355888619592025
grs	0.023311343241698593
paep	0.009744005096068951
klk12	0.00743673336000911
cga	0.005645171100067624
fshb	0.005505776287231174
psca	0.0054161272909494405
chrdl2	0.003655798513289731
col9a1	0.0034286337493427844
sdk2	0.0033707553229855524
cfh	0.003029719094227727
ceacam1	0.00294085403186719
lgals4	0.0027513569707395217
txndc15	0.002564330755998521
cntn2	0.002421853004117281
kir2ds4	0.002395648213155815
man1a2	0.0022255353189883542
gstt2b	0.002196701902142567
ptprz1	0.002069752916720751
lmnb2	0.0019850656848369717
zp3	0.0019804765803722994
dpp4	0.0019692525553412998
hras	0.0019524331298038156
l1cam	0.0019179643787503456
cr2	0.0018944885898296464
rln2	0.0018740009836731711
dlk1	0.0018722404983371472
lsm8	0.0017387557743065215
cd5l	0.0017218923898956943
pon1	0.0017060201141637333
gpihbp1	0.0016338755069062654
aif1l	0.001621995395947878
sftpd	0.0016155999452695984
il33	0.00160864671163865
ggt1	0.0016003810484946411
tnc	0.0015789149971381462
ccl16	0.0015775992965728358
ofd1	0.0015638396724734782
il4	0.0015127921326571197
top1	0.0015088186991710191
abo	0.001495956035309582
faslg	0.0014866030381729901
plxdc2	0.0014763952060596489
cd80	0.0014647156607723764
smoc1	0.0014589446285272827
obp2b	0.0014494915819556146
mme	0.0014410634051294185
prok1	0.001437870134006409
dpt	0.0014241176321417475
apobr	0.001420180751244384
icam4	0.001415162922719995
colec12	0.0013845747295541896
gh1	0.0013443311602909557
f3	0.001329307063940267
lcn15	0.0012940660071325118
nxph1	0.0012901512805634059
gchfr	0.001252664719732214
erbb2	0.001237201533072416
lhb	0.0012247675131862948
muc13	0.0012226464536069415
il3ra	0.001203052668774718
prl	0.001177854896733819
ssh3	0.0011611456277304574
dbh	0.0011562033519405164
aldh3a1	0.0011483629327133523
stc2	0.0011481374922642353
tagln3	0.0011316278805127992
pcbd1	0.0011302898516224924
ctsv	0.0011252336323066287
csf2rb	0.0011205964670798197
gc	0.001089606516753621
lcp1	0.0010840129474992864
ftcd	0.0010739017392677568
s100g	0.001067168279331022
sod3	0.0010645752917573096
atp6v1d	0.0010508546575351291
epo	0.0010408867824466621
thrap3	0.0010401719584925925
pm20d1	0.0010382314366273546
gpc1	0.001034369724306007
egfr	0.001031480420119128
cpm	0.0010144203471064606
robo2	0.0010132892119094137
cd4	0.0010115616395542227
il5ra	0.001009322336862764
hmmr	0.0010006595507752326
pdgfrb	0.0009957365582150418
lamp3	0.0009873834397101692
klk4	0.000985837560955957
plxnb2	0.0009663848816297188
cfi	0.0009642313449239696
prss8	0.0009587992287292944
clec4m	0.0009569857305279922
ca6	0.0009521483771308744
mog	0.0009375879472426309
pla2g7	0.0009375242037338297
gfra1	0.0009355477840300203
cd22	0.0009183496217026434
ghrl	0.0009175205008343899
pltp	0.0009156454354895857
cxcl12	0.0009113447721882308
serping1	0.0009080559922160209
selenop	0.0009046235707874819
bst2	0.000903969337345729
reg4	0.0009003659515427296
ccl20	0.0008919408022772958
acan	0.0008888237726669365
fgf19	0.000885593787714858
fam3d	0.0008849887242783378
cxcl17	0.0008847099821400671
tlr3	0.0008837828997982544
muc16	0.0008773934338964187
fam20a	0.0008722704355354245
ptgr1	0.0008624049436634464
f2	0.0008593549842719339
upk3bl1	0.0008550683733875931
scarf2	0.000850369299466423
tdgf1	0.000841670149280418
chrdl1	0.0008367778671404905
rtbdn	0.0008356197834729543
il10ra	0.0008355352093083161
pdzk1	0.0008308540226080704
fam171a2	0.000823826494428675
scrg1	0.0008188237922834268
tnfrsf13b	0.0008089848891706051
cd55	0.000803911974273269
tf	0.00079758941914381
apoe	0.0007943836667547071
siglec6	0.0007917261511780328
ambn	0.0007909542434990761
akr7l	0.0007892454086023217
clec1a	0.0007879904577368271
kir3dl2	0.0007806939518927974
gad1	0.0007773266092552947
hbz	0.000776145739678581
alpi	0.0007740636576891227
lrrn1	0.000772760798285387
ceacam21	0.0007724276034238629
ocln	0.0007647197663827172
muc2	0.0007613486961259392
sost	0.0007604168637884659
tlr2	0.0007481070085767974
krt19	0.0007294837389324789
chchd6	0.0007250810605553471
lgals9	0.0007245056692830816
mep1b	0.0007204383158630706
mdga1	0.0007201789879060966
orm1	0.0007161264816749771
ceacam18	0.0007122549057463365
ncam1	0.0007099913167699882
fbp1	0.0007086770214789189
bsg	0.0007083977961220826
