feature	importance
grs	0.014660177024167841
UKBB_GRS	0.012392529504705986
paep	0.007847488625693401
mapre3	0.0035445875846706752
lypla2	0.0035240024184422145
nenf	0.0031945795691100307
cntnap4	0.00316243026150832
kir2ds4	0.00290481406067592
rln1	0.0028965493282386316
vcpkmt	0.002800671559905821
iglon5	0.002727979786267616
get3	0.00270654419303705
ugdh	0.002560570671875003
myl6b	0.0025068322600106576
kdm3a	0.002506576181584716
prl	0.002482274269305673
pde4d	0.0023953497547799718
dock9	0.0023486896719588676
fshb	0.002266447335859381
klk4	0.0022175318036792638
rln2	0.002113143134454746
lsm8	0.0020553978552306407
chrdl2	0.0020305064895953786
psca	0.0019828007357323915
folr3	0.001939488269218181
batf	0.0018824100359988293
ppie	0.001877066240900969
scrib	0.0018447913419122881
ndst1	0.0018404178668017565
tp53bp1	0.0018043695347119536
tdgf1	0.001783387750216068
armcx2	0.0017736200104866051
stau1	0.001763695613611113
pnpt1	0.0017583146577038863
txk	0.0017231365002671147
smpdl3b	0.001694243951095653
gabarapl1	0.0016893462405561284
zp3	0.0016854105519063308
il18rap	0.0016783228398539044
adra2a	0.0016712150556182893
pmch	0.0016199723329438098
cwc15	0.0016140253180461465
aldh2	0.0016097652243593768
txnl1	0.0015983779692921051
rab39b	0.0015860288501777003
rad51	0.0015829572683437655
hras	0.001575713509667638
ofd1	0.0015730025955372306
ssb	0.0015595669003749544
rpe	0.001541626030223496
mcts1	0.0015401504388799928
rexo2	0.001535377821871687
tspan1	0.001533025550035945
ripk4	0.001531783314800669
ift20	0.001515644065063439
ccne1	0.0015059415385409243
jchain	0.0015043064545092284
defb116	0.001420152350546665
lypd1	0.0014177310754578418
sms	0.0013974297483197672
gh2	0.001379840387455138
tp53inp1	0.0013472257350708337
pgm2	0.001311414414080428
tdp1	0.0013046721028888346
eif1ax	0.0012997740273090475
dtx2	0.0012946930092945404
sirt5	0.001291061761000733
cga	0.001273766491451187
nphs2	0.0012676805712171172
zpr1	0.0012513148986129164
snu13	0.0012499735575597429
dcun1d2	0.0012382060697934537
scp2	0.0012066205784629638
il5ra	0.0011947883507578759
tspan7	0.0011793800737848804
rab11fip3	0.001178887888047232
erp29	0.0011750222176637039
arnt	0.0011644801315279767
pithd1	0.001136493110857346
rnaseh2a	0.0011347509725058798
csde1	0.001133111658978212
ruvbl1	0.0011323770405706384
ecscr	0.0011313104567829263
crh	0.0011296786791839173
pafah1b3	0.0011173219055195124
cdh3	0.001113423229133572
dhodh	0.0011114636256777458
znf830	0.0010894968225449169
slk	0.001085825578558588
insl3	0.0010739768284696207
akr1c4	0.0010723072623796883
actn4	0.001067444394004985
stat5b	0.0010638731343323089
vwa5a	0.0010536205610296968
pgd	0.0010511460255443472
kir3dl2	0.0010469362110330023
htr1a	0.0010447961040298684
twf2	0.0010422542435112349
fgfbp1	0.0010406301405282174
palm3	0.001007856545482423
siglec15	0.0010008748338661713
pglyrp4	0.000997342223160787
gfod2	0.000990396594574266
cnpy4	0.0009765539356170124
cmc1	0.0009743641467814531
mdh1	0.0009681174828009479
gucy2c	0.0009666034183527828
cd200r1	0.000963980040327157
dlg4	0.0009591138093792723
prok1	0.0009541830175638664
pgr	0.0009381760253093654
dok1	0.0009366726307041668
paip2b	0.0009366342462455388
ptp4a3	0.0009352178698285459
pcare	0.0009342901171517872
nop56	0.0009270436182307706
casp3	0.0009200129504906788
gsap	0.0009068239574863624
klk12	0.0009047432453987529
cyp24a1	0.0009034026378801972
arhgap30	0.0008937566625708058
folh1	0.0008895838976949199
gal	0.0008807719644554558
gga1	0.0008701268190829463
paxx	0.0008696876588666837
zcchc8	0.0008681408325508997
nfatc3	0.000866606007943689
nmt1	0.0008605404491787545
igf2bp3	0.0008567487396086065
tmed8	0.0008528191129944248
crtac1	0.0008520471244960794
zbp1	0.0008411790958700177
suox	0.000840483641930177
il17f	0.000834697683010811
rnf43	0.000834270624414572
mnat1	0.0008319010475890927
exosc10	0.0008233579939623281
atp2b4	0.0008101611541760904
hsp90b1	0.0007989159549930256
appl2	0.0007927152624657811
fkbp14	0.0007914502965964665
crx	0.0007874103476357484
defb104a_defb104b	0.0007827045875167612
c1qa	0.0007796824839093751
shd	0.000779151091655572
acp1	0.0007723805486629952
clec4m	0.00077224863366369
pfdn4	0.000768276872780883
daam1	0.0007644825499779018
nectin1	0.0007603072672019448
slc16a1	0.0007537311369533298
kif1c	0.0007483166035658506
ccar2	0.0007427798296015576
arntl	0.0007409604065351369
tcl1b	0.0007388110170152567
hspa1a	0.0007374942303426955
top1	0.0007257974281178645
spred2	0.0007189896927712132
rbp1	0.0007183662965503447
hadh	0.0007179808086479863
thap12	0.0007153547918215366
rcc1	0.0007144394778509595
tpr	0.0007141709003287076
cgb3_cgb5_cgb8	0.0007126345240870807
lpcat2	0.0007111500649419378
cacnb1	0.0007099542204347279
epo	0.0007038418753386313
gipc3	0.0007018953510250989
rac3	0.0006976133340894134
farsa	0.0006975244661145434
psmc3	0.0006964342597084901
ikzf2	0.0006963795144166562
nedd9	0.0006959764567211207
dnajb2	0.0006958462072990345
snap23	0.0006953447075328273
ppm1b	0.0006934998505723763
ninj1	0.0006931706260651868
diablo	0.0006885040997962262
rcor1	0.0006874988953188859
akr7l	0.0006857209370898999
mars1	0.0006844266212293204
txnrd1	0.0006840684881412468
sec31a	0.0006820271859585897
