feature,importance
grs,0.015626094706471767
UKBB_GRS,0.006094733171962314
tsnax,0.004020034888677663
yod1,0.0036221265062541743
morc3,0.0030973391522291184
mthfd2,0.003023350805430704
scgb2a2,0.003008378791665941
slc12a2,0.0029835620244546323
dnajb2,0.002731138586206773
snrpb2,0.002725708654692891
ranbp1,0.002561398814414748
adgre1,0.0023080901120729066
prkag3,0.0023029800303106087
mdh1,0.0022369620982717366
sh3glb2,0.0021052191379160802
dnajc9,0.0019974797980092103
ube2b,0.0019901600723429475
dok1,0.0019797043099387904
eif2s2,0.0019303913543438891
stat5b,0.0018348719037271518
sdk2,0.001748028530467374
mydgf,0.00167921336411855
tubb3,0.0016756388480697218
psca,0.001652760944554312
cd5l,0.0016518531025326072
apoe,0.0016127763404893088
nup50,0.0016074094352660651
ampd3,0.0015932742406328281
c2orf69,0.001555835668842896
eif1ax,0.0015484109626836722
top1,0.0015299198477935966
ciapin1,0.001518444915164863
vipr1,0.0015154834255248111
cacybp,0.0014994925012243177
st13,0.0014965611122649692
gucy2c,0.0014718663970158601
prr4,0.0014311961267201568
rhoc,0.001419881057723998
rnase6,0.00139566809842135
bhmt2,0.0013773625298837769
gart,0.0013655468292788375
eri1,0.001347811045747637
pagr1,0.0013454287492002657
txn,0.0013051123932349697
gp6,0.001277615763634543
tada3,0.0012712565380203784
map2k6,0.001269779670594078
msra,0.001267389307375714
rabep1,0.0012310344302002665
lgals3bp,0.00122843597684091
ak2,0.001204673762654406
dnajc6,0.0011821932038979992
smad2,0.001161388995316993
pxdnl,0.0011562755679968744
myo6,0.0011407448411012767
fhip2a,0.0011337378215129509
spart,0.0011325868574932636
trim25,0.001131700205667044
palm2,0.0011307022198749502
tnip1,0.0011178612260782836
nub1,0.0011144880594301135
sumf1,0.001103862309238659
eif2ak2,0.0011017082324761697
vamp8,0.001101109861473934
mesd,0.0010959504532299788
cox6b1,0.0010843277968816483
tor1aip1,0.0010823281596158336
acyp1,0.0010730112666544201
spred2,0.0010685952617992813
dnajb14,0.0010677347082133086
atp1b1,0.00106591058180548
f2,0.001063755103542633
nfe2,0.0010625746912080137
abl1,0.0010567684357042212
dcun1d2,0.0010516319442590682
hars1,0.0010508753844956124
icam5,0.0010435107663303567
inppl1,0.0010422841004469059
dapk2,0.0010404844305687442
tars1,0.0010404507011502193
mars1,0.0010344718546997176
cacna1c,0.0010306557446006226
nars1,0.0010269103185111185
fkbp14,0.0010250804982657419
cenpf,0.001018242181231599
pcyt2,0.0010146347767893337
dnaja2,0.001012550864459052
aifm1,0.0010097578515533812
lyn,0.0010078462445794701
lats1,0.0010038743697586292
ndufb7,0.001000985412095138
gbp6,0.0009906574304555207
thbs4,0.0009777280145221432
arg2,0.0009721083568358787
mrps16,0.0009708312627072518
retn,0.0009655217764960268
cit,0.000961638480233696
tnfaip8l2,0.0009543494682895062
crybb1,0.0009499641081919687
glrx5,0.0009448756970724853
lect2,0.0009369599371286841
inpp5d,0.0009353363844759821
hddc2,0.0009345590715930436
skiv2l,0.0009300946315162612
lamtor5,0.0009257198878622747
bank1,0.0009251151815879027
irak4,0.0009246271531232149
dctd,0.0009241837971912658
ppp2r5a,0.0009233331932991582
map2k1,0.0009222318373703678
txnrd1,0.0009182313349588253
stip1,0.0009182243831994828
csde1,0.0009173803402239836
sirt1,0.0009158617176259641
ntrk2,0.0009121614054020563
cbln1,0.0009107448943796394
ckb,0.0009034140130594722
tspan1,0.0009013822447809344
il10,0.0009007663565549193
evi2b,0.0008998372676908719
jpt2,0.0008969142002212892
mep1a,0.0008960922202696141
enpep,0.0008917731273275919
casp3,0.0008905989210740444
il13ra2,0.0008870837776377341
stxbp3,0.0008817801936921261
igbp1,0.0008791605683767599
fgf7,0.0008788691453418978
traf3ip2,0.0008783554355397834
dlg4,0.0008751453502957812
dkk3,0.0008716736516992236
cyb5r2,0.0008682612138745559
nubp1,0.0008671981587366415
tex101,0.0008640734255374449
prtfdc1,0.0008634458468884551
