feature,importance
grs,0.0198793328052603
UKBB_GRS,0.0196165920930139
paep,0.0092848210651654
cga,0.0081421614044932
fshb,0.0060294310157406
rln2,0.0048765216150129
chrdl2,0.0045970181774029
klk4,0.0024006446038569
prl,0.0022378786721828
sdk2,0.0021865303352685
gdf15,0.0019746166961868
tspan1,0.0018910434506143
fabp1,0.0017595869276136
lamp3,0.0015828531714591
cst6,0.0015763382265901
rln1,0.001495328436587
crlf1,0.0014503358300959
cdhr2,0.0014409735873498
lgals4,0.0014262269823858
wfikkn1,0.0014165875404099
lmnb2,0.0014017781050114
cd59,0.0013953947971765
msmb,0.0013133161713212
dpt,0.0012989258298588
prok1,0.0012868271427717
frmd7,0.0012670503782354
col9a1,0.00126237007451
colec12,0.0012056573158743
adm,0.0011810864975963
cgb3_cgb5_cgb8,0.0011739657747097
bpifb1,0.0011498496601031
lgals3,0.0011493110081592
megf9,0.0011469070665935
dpp4,0.0011068936880742
cd300e,0.0011030259416827
reg4,0.0010834161041511
rbp2,0.001081881387241
afp,0.0010777232656805
tnfrsf4,0.0010739606140329
klk10,0.0010723351666248
flt3lg,0.0010656815233957
gfra1,0.0010653365970071
chit1,0.0010453428341975
treml2,0.0010428795995894
fut3_fut5,0.001012234930598
endou,0.00100777820994
c1qa,0.0010041442203345
ccl25,0.0009996632271948
ezr,0.0009989086436481
ccl27,0.0009913274944217
omd,0.0009909292897488
gpd1,0.0009905698527728
cr2,0.0009837251511
ces2,0.0009764212867258
pfdn6,0.0009722407767142
cpm,0.0009680566471094
hmbs,0.0009669395376511
pcsk9,0.0009610697980464
thbs4,0.0009581666792252
stc2,0.0009538673029904
edar,0.0009505072293331
cdh3,0.0009483644034033
lilrb4,0.0009422989157544
ceacam1,0.0009355351526682
mprip,0.0009324629991894
pros1,0.0009317740579453
f3,0.0009310463514556
ccl18,0.0009204052165122
cd109,0.000897651321689
ccl3,0.0008875859794603
fgfr2,0.0008869374244199
tmem25,0.000881584303819
cd244,0.000875776698667
agrn,0.0008658456126204
mmp12,0.0008647296995753
cd99l2,0.0008630273575176
ptprz1,0.0008594499346041
prss8,0.0008564611645008
xg,0.0008553906217855
tff2,0.0008537072754829
mcam,0.0008532825270531
clec14a,0.0008513818116029
ocln,0.0008507939594966
fap,0.0008448836099713
top1,0.0008441237996991
mrc1,0.0008430493191127
bsg,0.0008421614376311
fgf16,0.0008390745132541
phospho1,0.0008383608283897
cd14,0.0008350013480498
retn,0.0008336609482457
get3,0.000832945793081
fcgr2a,0.0008295403901443
gpc1,0.0008257815820763
angptl3,0.0008198682088977
tnfrsf12a,0.000817073018142
bmp4,0.0008162527392864
pcdh1,0.0008121432549095
crisp2,0.0008086135556875
lrpap1,0.0008081720092756
tnni3,0.0007994519505343
tfrc,0.0007925545366302
palm2,0.000791779165087
lrp1,0.0007912284617628
thbs2,0.0007865130108914
timd4,0.0007844434043485
cdcp1,0.0007830888829849
cxcl16,0.0007762848217675
gal,0.0007755787962369
scarf2,0.0007752065360873
tspan7,0.0007744908283392
treh,0.0007740283879905
c1qtnf5,0.0007738166337567
aldh3a1,0.0007733219421919
cxadr,0.0007720520680526
pla2g10,0.0007715188083106
uhrf2,0.0007685763777206
igfbp7,0.000766250616461
clstn1,0.0007660215296473
pfdn2,0.0007654763321048
myl1,0.0007584623459545
siglec7,0.0007567044285054
apobr,0.0007563593961691
ccs,0.000756349559276
adgrd1,0.0007511727612089
tcl1a,0.0007494034475065
hsd17b14,0.0007485634695692
pigr,0.0007455612362096
il15,0.0007434066266669
fndc1,0.0007417129645672
lpcat2,0.0007402490601158
agr2,0.0007381295053662
tcn2,0.0007378210751438
ggt1,0.000737625833527
leo1,0.0007367104036592
nptn,0.0007362842674089
smndc1,0.0007359772083993
dsg2,0.0007357028488093
rp2,0.0007295271761902
gga1,0.0007293299865379
acy1,0.0007292239821095
clec3b,0.0007274433158265
sdc1,0.0007272271631139
klk11,0.0007270439912042
alpp,0.0007225174308803
efna4,0.0007215784032121
edn1,0.0007208854438059
tp53inp1,0.0007202210083604
setmar,0.0007198086889544
anpep,0.0007191045455824
cd93,0.000718724958707
chchd10,0.0007175457848905
lhb,0.0007174239838482
ckmt1a_ckmt1b,0.0007167945622101
acp5,0.0007157586531749
serpinf1,0.0007135303619616
ephb4,0.0007127025048189
rtbdn,0.0007123610794117
hs3st3b1,0.0007081573765299
camlg,0.0007077208620162
pglyrp4,0.0007073161968909
cd82,0.0007070870299906
tnfrsf11b,0.0007064734407339
hs6st1,0.0007024393743984
sftpa2,0.0007021964175846
pilra,0.0007019567696262
cst3,0.0007016062061105
sfrp4,0.0006999703944915
tacstd2,0.0006989717706367
heg1,0.0006964082910602
gsr,0.0006962017503346
igfbp2,0.0006951064724271
fos,0.0006947132233493
proc,0.0006926273312021
fgf9,0.0006923336873216
pdia2,0.0006908979016383
tff3,0.0006848086963756
sprr3,0.0006830058437674
pglyrp1,0.000682385770786
mdk,0.0006810431290453
smoc1,0.0006795383476439
sort1,0.000678047559213
il17d,0.0006780201552195
cnpy2,0.0006772573196143
mertk,0.0006761319083036
cd3g,0.0006754940473351
arnt,0.0006751323175919
ebi3_il27,0.0006740886791173
siglec1,0.0006739605314935
rarres2,0.0006725217527654
il13,0.0006722598676011
cct5,0.0006703380795427
yap1,0.000670292678704
ppy,0.000670258085715
cfi,0.000669913581737
mrpl28,0.000669347239801
serpinb5,0.0006692819603504
ccne1,0.0006682115808342
ifit3,0.0006673736236744
chl1,0.0006673336050704
npdc1,0.0006654472904122
ptprm,0.0006654215382015
fam3c,0.0006639988453185
crhbp,0.0006624139040659
wif1,0.0006614747424983
rexo2,0.0006614615948849
tp53,0.0006606336558627
il20ra,0.000659681916126
f11,0.0006587409216933
ceacam18,0.0006584418613121
klk13,0.0006568917010463
il1rl2,0.0006548795366584
chek2,0.000654516349482
hdac9,0.0006540123504043
smpdl3a,0.0006533308566322
micb_mica,0.0006527270407117
krt18,0.0006525966116341
psip1,0.0006500780709278
